remitente;destinatarios;asunto;cuerpo;fecha_hora;frecuencia_palabras_spam;reputacion_dominio_remitente;cantidad_destinatarios_visibles;presencia_y_numero_urls;relacion_texto_html;autenticidad_remitente;personalizacion_saludo;adjuntos_peligrosos;uso_simbolos_excesivos;scripts_o_formularios;etiqueta
OfertasIncreibles@ganadinero.com;usuario1@example.com,usuario2@example.com,usuario3@example.com;¡Gane Millones!;¡Felicidades! Ha ganado un premio. Reclame aquí: [enlace sospechoso].;2024-07-26 10:30:00;5;sospechoso;3;2;0.1;Fail;1;1;3;1;SPAM
bancocolombia@seguridad.com;cliente1@bancocolombia.com;Actualización de Seguridad;Estimado cliente, actualice su información aquí: [enlace seguro].;2024-07-26 14:45:00;1;comun;1;1;0.8;Pass;0;0;1;0;HAM
rematessuper@ofertas.net;usuario4@example.com,usuario5@example.com;¡Ofertas Imperdibles!;Aproveche nuestras ofertas increíbles. Compre ahora: [enlace sospechoso];2024-07-27 09:15:00;4;sospechoso;2;3;0.2;Fail;1;0;2;1;SPAM
soporte@empresaficticia.com;usuario6@example.com;Problema con su cuenta;Su cuenta ha sido comprometida. Haga clic aquí: [enlace sospechoso];2024-07-27 11:00:00;3;lista_negra;1;1;0.3;Fail;1;1;1;0;SPAM
amigo@gmail.com;amigo1@gmail.com;Cita para el almuerzo;Te propongo almorzar mañana. ¿Te parece bien?;2024-07-27 16:30:00;0;comun;1;0;0.9;Pass;0;0;0;0;HAM
ganapremio@correo.com;usuario7@example.com,usuario8@example.com,usuario9@example.com;¡Premio Garantizado!;¡Ha ganado un carro! Visite: [enlace sospechoso] para reclamarlo.;2024-07-28 08:00:00;6;sospechoso;3;2;0.1;Fail;1;1;4;1;SPAM
info@empresaX.com;cliente2@empresaX.com;Factura #1234;Adjunto encontrará la factura #1234. Saldos pendientes.;2024-07-28 12:15:00;0;comun;1;0;0.7;Pass;0;0;0;0;HAM
ofertaslocas@promociones.co;usuario10@example.com;Liquidación total!;Aproveche esta liquidación total. Últimas unidades. [enlace sospechoso];2024-07-29 15:45:00;5;sospechoso;2;3;0.2;Fail;1;0;3;1;SPAM
notificaciones@app.com;usuario11@example.com;Actualización de aplicación;Estimado usuario, actualice nuestra aplicación.;2024-07-29 18:20:00;1;comun;1;1;0.9;Pass;0;0;1;0;HAM
megaoferta@correo.com;usuario12@example.com,usuario13@example.com;¡Gane un viaje!;¡Un viaje gratis lo espera! Haga clic aquí: [enlace sospechoso];2024-07-30 10:00:00;4;sospechoso;3;2;0.1;Fail;1;1;2;1;SPAM
servicioalcliente@tienda.com;cliente3@tienda.com;Su pedido está listo;Su pedido #5678 está listo para ser recogido.;2024-07-30 13:30:00;0;comun;1;0;0.8;Pass;0;0;0;0;HAM
